FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
"KC594PO23N000000940","제47회 신라문화제","129.2090768","35.86064257","경상북도","경주시","4713012400","황성동","4713062100","황성동",,"경상북도 경주시 황성공원로 29","2024-02-01","370.0","125","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000941","제47회의병제전","128.2674987","35.31557358","경상남도","의령군","4872025023","의령읍","4872025000","의령읍","487203327004","경상남도 의령군 의령읍 구룡로 245-4","2024-02-01","40.0","344","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000942","제4회 낙동강세계평화 문화대축전","128.4011405","36.0182307","경상북도","칠곡군","4785025625","석적읍","4785025600","석적읍","478502000012","경상북도 칠곡군 석적읍 강변대로 1580","2024-02-01","100.0","258","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000943","제50회 영동난계국악축제","127.7739921","36.1736274","충청북도","영동군","4374025028","영동읍","4374025000","영동읍","437403243054","충청북도 영동군 영동읍 학산영동로 1244-1","2024-02-01","180.0","182","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000944","제52회 황토현동학농민혁명기념제","126.8313917","35.63130705","전라북도","정읍시","4518036021","덕천면","4518036000","덕천면","521803270010","전라북도 정읍시 덕천면 동학로 742","2024-02-01","17.0","470","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000945","제56회 수원화성문화제","127.0151511","37.2808736","경기도","수원시 팔달구","4111512300","남창동","4111574000","행궁동","411153176017","경기도 수원시 팔달구 행궁로 11","2024-02-01","320.0","138","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000946","제58회 천령문화제","127.7206714","35.52424257","경상남도","함양군","4887025024","함양읍","4887025000","함양읍","488704838452","경상남도 함양군 함양읍 필봉산길 49","2024-02-01","19.0","460","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000947","제5회 낙동강세계평화 문화대축전","128.4011405","36.0182307","경상북도","칠곡군","4785025625","석적읍","4785025600","석적읍","478502000012","경상북도 칠곡군 석적읍 강변대로 1580","2024-02-01","100.0","258","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000948","제63회 백제문화제","127.1271045","36.46891899","충청남도","공주시","4415012000","신관동","4415057000","신관동","441503251008","충청남도 공주시 금벽로 368","2024-02-01","740.0","81","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000949","제64회 백제문화제","127.1271045","36.46891899","충청남도","공주시","4415012000","신관동","4415057000","신관동","441503251008","충청남도 공주시 금벽로 368","2024-02-01","740.0","81","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000950","제65회 백제문화제","127.1271045","36.46891899","충청남도","공주시","4415012000","신관동","4415057000","신관동","441503251008","충청남도 공주시 금벽로 368","2024-02-01","740.0","81","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000951","제6회 국제전기자동차엑스포","126.4245153","33.2413649","제주특별자치도","서귀포시","5013011200","중문동","5013061000","중문동","501303350251","제주특별자치도 서귀포시 중문관광로 224","2024-02-01","130.0","221","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000952","제6회 낙동강세계평화 문화대축전","128.4011405","36.0182307","경상북도","칠곡군","4785025625","석적읍","4785025600","석적읍","478502000012","경상북도 칠곡군 석적읍 강변대로 1580","2024-02-01","100.0","258","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
